id,pop,lat,lon,Altitude,woreda,Stage,Sex,popn type,site
AG145,Gurage,8.128280099,38.0238325,2352,Ejza,progeny,unknown,N.forest patch,Deban/Amba den
AG146,Gurage,8.128109283,38.02425948,2361,Ejza,parent,unknown,N.forest patch,Deban/Amba den
AG147,Gurage,8.128064345,38.02437758,2346,Ejza,parent,unknown,N.forest patch,Deban/Amba den
AG148,Gurage,8.12811861,38.02437745,2348,Ejza,progeny,unknown,N.forest patch,Deban/Amba den
AG149,Gurage,8.12811861,38.02437745,2348,Ejza,parent,unknown,N.forest patch,Deban/Amba den
AG150,Gurage,8.128236272,38.02441347,2352,Ejza,parent,unknown,N.forest patch,Deban/Amba den
AG151,Gurage,8.128444092,38.02433128,2352,Ejza,progeny,unknown,N.forest patch,Deban/Amba den
AG152,Gurage,8.128444092,38.02433128,2352,Ejza,parent,unknown,N.forest patch,Deban/Amba den
AG153,Gurage,8.128444092,38.02433128,2352,Ejza,progeny,unknown,N.forest patch,Deban/Amba den
AG154,Gurage,8.128725898,38.02492962,2369,Ejza,progeny,unknown,N.forest patch,Deban/Amba den
AG155,Gurage,8.128725898,38.02492962,2369,Ejza,parent,unknown,N.forest patch,Deban/Amba den
AG156,Gurage,8.129367904,38.02487362,2370,Ejza,progeny,unknown,N.forest patch,Deban/Amba den
AG157,Gurage,8.129367904,38.02487362,2370,Ejza,progeny,unknown,N.forest patch,Deban/Amba den
AG158,Gurage,8.128678456,38.02400398,2353,Ejza,parent,unknown,N.forest patch,Deban/Amba den
AG159,Sidama,7.102603316,38.47639293,1693,Hawassa,seedling,unknown,Nursery population,Tikurwuha
AG160,Sidama,7.102603316,38.47639293,1693,Hawassa,seedling,unknown,Nursery population,Tikurwuha
AG161,Sidama,7.102603316,38.47639293,1693,Hawassa,seedling,unknown,Nursery population,Tikurwuha
AG162,Sidama,7.102603316,38.47639293,1693,Hawassa,seedling,unknown,Nursery population,Tikurwuha
AG163,Sidama,7.102603316,38.47639293,1693,Hawassa,seedling,unknown,Nursery population,Tikurwuha
AG164,Sidama,7.102603316,38.47639293,1693,Hawassa,seedling,unknown,Nursery population,Tikurwuha
AG165,Sidama,7.102603316,38.47639293,1693,Hawassa,seedling,unknown,Nursery population,Tikurwuha
AG166,Sidama,7.102603316,38.47639293,1693,Hawassa,seedling,unknown,Nursery population,Tikurwuha
AG167,Sidama,7.102603316,38.47639293,1693,Hawassa,seedling,unknown,Nursery population,Tikurwuha
AG168,Sidama,7.102603316,38.47639293,1693,Hawassa,seedling,unknown,Nursery population,Tikurwuha
AG169,Sidama,6.711203862,38.40166218,1807,Dale,parent,male,Natural remanat  patch,Bera-Tedicho
AG170,Sidama,6.711203862,38.40166218,1807,Dale,parent,female,Natural remanat  patch,Bera-Tedicho
AG171,Sidama,6.711203862,38.40166218,1807,Dale,parent,female,Natural remanat  patch,Bera-Tedicho
AG172,Sidama,6.711203862,38.40166218,1807,Dale,parent,female,Natural remanat  patch,Bera-Tedicho
AG173,Sidama,6.711203862,38.40166218,1807,Dale,parent,female,Natural remanat  patch,Bera-Tedicho
AG174,Sidama,6.711203862,38.40166218,1807,Dale,parent,female,Natural remanat  patch,Bera-Tedicho
AG175,Sidama,6.711203862,38.40166218,1807,Dale,parent,male,Natural remanat  patch,Bera-Tedicho
AG176,Sidama,6.711203862,38.40166218,1807,Dale,parent,male,Natural remanat  patch,Bera-Tedicho
AG177,Sidama,6.711203862,38.40166218,1807,Dale,parent,male,Natural remanat  patch,Bera-Tedicho
AG178,Sidama,6.711203862,38.40166218,1807,Dale,parent,male,Natural remanat  patch,Bera-Tedicho
AG179,Sidama,6.711203862,38.40166218,1807,Dale,progeny,unknown,Natural remanat  patch,Bera-Tedicho
AG180,Sidama,6.711203862,38.40166218,1807,Dale,progeny,unknown,Natural remanat  patch,Bera-Tedicho
AG181,Sidama,6.711203862,38.40166218,1807,Dale,progeny,unknown,Natural remanat  patch,Bera-Tedicho
AG182,Sidama,6.711203862,38.40166218,1807,Dale,progeny,unknown,Natural remanat  patch,Bera-Tedicho
AG183,Sidama,6.711203862,38.40166218,1807,Dale,progeny,unknown,Natural remanat  patch,Bera-Tedicho
AG184,Sidama,6.711203862,38.40166218,1807,Dale,progeny,unknown,Natural remanat  patch,Bera-Tedicho
AG185,Sidama,6.711203862,38.40166218,1807,Dale,progeny,unknown,Natural remanat  patch,Bera-Tedicho
AG186,Sidama,6.711203862,38.40166218,1807,Dale,progeny,unknown,Natural remanat  patch,Bera-Tedicho
AG187,Sidama,6.711203862,38.40166218,1807,Dale,progeny,unknown,Natural remanat  patch,Bera-Tedicho
AG188,Sidama,6.711203862,38.40166218,1807,Dale,progeny,unknown,Natural remanat  patch,Bera-Tedicho
