id,pop,lat,lon,Altitude,woreda,Zone/region,Stage,Sex,popn type
AG134,ME Gedam,8.246275087,38.08312933,2326,Mihur Aklil,Gurage,progeny,,Church forest (old monastry)
AG135,ME Gedam,8.246275087,38.08312933,2326,Mihur Aklil,Gurage,progeny,,Church forest (old monastry)
AG136,ME Gedam,8.246275087,38.08312933,2326,Mihur Aklil,Gurage,progeny,,Church forest (old monastry)
AG137,ME Gedam,8.246727281,38.08311921,2345,Mihur Aklil,Gurage,parent,female,Church forest (old monastry)
AG138,ME Gedam,8.246872342,38.08327322,2337,Mihur Aklil,Gurage,parent,male,Church forest (old monastry)
AG139,ME Gedam,8.246800258,38.08339141,2335,Mihur Aklil,Gurage,parent,male,Church forest (old monastry)
AG140,ME Gedam,8.246879787,38.08257413,2331,Mihur Aklil,Gurage,parent,male,Church forest (old monastry)
AG141,Deban/Amba den,8.128224024,38.02307932,2332,Ejza,Gurage,progeny,,N.forest patch
AG142,Deban/Amba den,8.128026055,38.0234973,2328,Ejza,Gurage,progeny,,N.forest patch
AG143,Deban/Amba den,8.128280099,38.0238325,2352,Ejza,Gurage,parent,unknown,N.forest patch
AG144,Deban/Amba den,8.128280099,38.0238325,2352,Ejza,Gurage,parent,unknown,N.forest patch
AG145,Deban/Amba den,8.128280099,38.0238325,2352,Ejza,Gurage,progeny,,N.forest patch
AG146,Deban/Amba den,8.128109283,38.02425948,2361,Ejza,Gurage,parent,unknown,N.forest patch
AG147,Deban/Amba den,8.128064345,38.02437758,2346,Ejza,Gurage,parent,unknown,N.forest patch
AG148,Deban/Amba den,8.12811861,38.02437745,2348,Ejza,Gurage,progeny,,N.forest patch
AG149,Deban/Amba den,8.12811861,38.02437745,2348,Ejza,Gurage,parent,unknown,N.forest patch
AG150,Deban/Amba den,8.128236272,38.02441347,2352,Ejza,Gurage,parent,unknown,N.forest patch
AG151,Deban/Amba den,8.128444092,38.02433128,2352,Ejza,Gurage,progeny,,N.forest patch
AG152,Deban/Amba den,8.128444092,38.02433128,2352,Ejza,Gurage,parent,unknown,N.forest patch
AG153,Deban/Amba den,8.128444092,38.02433128,2352,Ejza,Gurage,progeny,,N.forest patch
AG154,Deban/Amba den,8.128725898,38.02492962,2369,Ejza,Gurage,progeny,,N.forest patch
AG155,Deban/Amba den,8.128725898,38.02492962,2369,Ejza,Gurage,parent,unknown,N.forest patch
AG156,Deban/Amba den,8.129367904,38.02487362,2370,Ejza,Gurage,progeny,,N.forest patch
AG157,Deban/Amba den,8.129367904,38.02487362,2370,Ejza,Gurage,progeny,,N.forest patch
